"Sign in", "Sign in"
"Register", "Register"
"About", "About"
"Contact Us", "Contact Us"
"Home", "Home"
"search text here ...", "search text here ..."
"Special price valid:", "Special price valid:"
"Go to Cart", "Go to Cart"
"Add to wishlist", "Add to wishlist"
"Add to compare", "Add to compare"
"Checkout", "Checkout"
"Qty", "Qty"
"Your cart", "Your cart"
"Read more", "Read more"
"Your e-mail address", "Your e-mail address"
"ENTER YOUR EMAIL ADDRESS TO SIGN UP TO RECEIVE OUR LATEST NEWS AND OFFERS", "ENTER YOUR EMAIL ADDRESS TO SIGN UP TO RECEIVE OUR LATEST NEWS AND OFFERS"
"DON'T SHOW THIS POPUP AGAIN", "DON'T SHOW THIS POPUP AGAIN"
"Newsletter Signup", "Newsletter Signup"
"View<br/>More", "View<br/>More"
"Categories", "Categories"
"Hide", "Hide"
"Show", "Show"
"Already Registered?", "Already Registered?"
"New Here?", "New Here?"
"Registration is free and easy!", "Registration is free and easy!"
"Please enter the following information to create your account.", "Please enter the following information to create your account."
"Your Name (required)", "Your Name (required)"
"Your Email (required)", "Your Email (required)"
"Send Message", "Send Message"
"Join the discussion", "Join the discussion"
"Remove From Cart:", "Remove From Cart:"
"QTY", "QTY"
"<a href=""%s"" class=""btn btn--wd"">BACK TO PREVIOUS PAGE</a>", "<a href=""%s"" class=""btn btn--wd"">BACK TO PREVIOUS PAGE</a>"
"sitemap", "sitemap"
"Categories", "Categories"
"IN STOCK", "IN STOCK"
"OUT OF STOCK", "OUT OF STOCK"
"Quantity", "Quantity"
"Related Products", "Related Products"
"SHOPPING BY:", "SHOPPING BY:"